sample,t,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,dh_1,dh_2,dh_3,dh_4,dh_5,dh_6
0.0,2.1000014385208488e-06,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
1.0,0.02045400000133668,-1.6819000244140625,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.0304889559706236,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
2.0,0.04078750000189757,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
3.0,0.06028309999965131,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
4.0,0.08031810000102269,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
5.0,0.10001740000006976,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
6.0,0.12051950000022771,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
7.0,0.14103240000258666,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
8.0,0.16125770000144257,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
9.0,0.18044000000008964,-1.6819000244140625,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.0304889559706236,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
10.0,0.20089160000134143,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
11.0,0.22089550000237068,-1.6819000244140625,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.0304889559706236,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
12.0,0.24049920000106795,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
13.0,0.2601732000002812,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
14.0,0.28048300000227755,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
15.0,0.30003340000257595,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.787567138671875,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.787567138671875
16.0,0.3201623000022664,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
17.0,0.34017470000253525,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
18.0,0.36024340000221855,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
19.0,0.3802711000025738,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
20.0,0.40019800000300165,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
21.0,0.4215148000002955,-1.6819000244140625,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.0304889559706236,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
22.0,0.4402107000023534,-1.6815185546875,-0.00152587890625,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.73057412109375,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
23.0,0.4604187000004458,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
24.0,0.4810025000006135,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
25.0,0.5009748000011314,-1.6815185546875,-0.00152587890625,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.73057412109375,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
26.0,0.520205700002407,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
27.0,0.5412109999997483,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
28.0,0.5600766000025033,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.787567138671875,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.787567138671875
29.0,0.5805696000024909,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
30.0,0.6001324000026216,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
31.0,0.620039600002201,-1.6819000244140625,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.787567138671875,3.0304889559706236,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.787567138671875
32.0,0.6403127000012319,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
33.0,0.6603486000021803,-1.6815185546875,-0.00152587890625,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.73057412109375,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
34.0,0.6804583000011917,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
35.0,0.7005865999999514,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
36.0,0.720321500000864,-1.6815185546875,-0.0019073486328125,-0.0019073486328125,-0.0179290771484375,1.71966552734375,1.7871856689453125,3.030870425697186,2.7301926513671875,-1.5869828065175076,-0.0179290771484375,-1.591958040646073,1.7871856689453125
